LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.029329216571392397
Amygdala;DICE;STD;0.029736121150844622
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.17198801280978257
GreyMatter;DICE;STD;0.1715531562280177
GreyMatter;HDRFDST;MEAN;36.53324616333735
GreyMatter;HDRFDST;STD;30.904237974248726
Hippocampus;DICE;MEAN;0.05231844699585222
Hippocampus;DICE;STD;0.05268926641955303
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.10748809220545974
Thalamus;DICE;STD;0.08355689680582772
Thalamus;HDRFDST;MEAN;32.9613899047279
Thalamus;HDRFDST;STD;14.749466958114152
WhiteMatter;DICE;MEAN;0.33048567366947135
WhiteMatter;DICE;STD;0.32076658523517093
WhiteMatter;HDRFDST;MEAN;28.190190239304872
WhiteMatter;HDRFDST;STD;20.416002896546622

# 70 estimators / depth 5 --> runtime 17min
