LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.061038293512356435
Amygdala;DICE;STD;0.06551075303243034
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.28625952664920545
GreyMatter;DICE;STD;0.1785102066933669
GreyMatter;HDRFDST;MEAN;42.68662673980416
GreyMatter;HDRFDST;STD;29.6850450155737
Hippocampus;DICE;MEAN;0.06980203479972526
Hippocampus;DICE;STD;0.05720483813230973
Hippocampus;HDRFDST;MEAN;26.254614855648782
Hippocampus;HDRFDST;STD;6.745012882237236
Thalamus;DICE;MEAN;0.1000432242925691
Thalamus;DICE;STD;0.11017847374983603
Thalamus;HDRFDST;MEAN;inf
Thalamus;HDRFDST;STD;nan
WhiteMatter;DICE;MEAN;0.40645112059161254
WhiteMatter;DICE;STD;0.1000068497054006
WhiteMatter;HDRFDST;MEAN;27.141690826495562
WhiteMatter;HDRFDST;STD;12.001192402379301

# 100 estimators / depth 5 --> runtime 1h
