LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.029057180389041582
Amygdala;DICE;STD;0.02945802140368404
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.17152138926233867
GreyMatter;DICE;STD;0.17116521312244784
GreyMatter;HDRFDST;MEAN;33.863156792045785
GreyMatter;HDRFDST;STD;26.578875297448597
Hippocampus;DICE;MEAN;0.05200469982335241
Hippocampus;DICE;STD;0.05241033835248859
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.10885609655653128
Thalamus;DICE;STD;0.08881313093479991
Thalamus;HDRFDST;MEAN;33.06343313503003
Thalamus;HDRFDST;STD;14.304173842812396
WhiteMatter;DICE;MEAN;0.3325964785818776
WhiteMatter;DICE;STD;0.3237728355801913
WhiteMatter;HDRFDST;MEAN;27.979002095255897
WhiteMatter;HDRFDST;STD;20.96009164468672

# 30 estimators / depth 5 --> runtime 5min
