LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.029482365067066075
Amygdala;DICE;STD;0.02989073692912955
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.17150538754103548
GreyMatter;DICE;STD;0.17111010007127708
GreyMatter;HDRFDST;MEAN;38.16404251995955
GreyMatter;HDRFDST;STD;32.34665142692084
Hippocampus;DICE;MEAN;0.049308188134562364
Hippocampus;DICE;STD;0.04963138819261291
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.1098931821732437
Thalamus;DICE;STD;0.08469841903576472
Thalamus;HDRFDST;MEAN;32.47371558216861
Thalamus;HDRFDST;STD;14.623877607817262
WhiteMatter;DICE;MEAN;0.32941478980897
WhiteMatter;DICE;STD;0.31942310672686
WhiteMatter;HDRFDST;MEAN;26.754004546896958
WhiteMatter;HDRFDST;STD;18.996663936191975

# 1 estimators / depth 5 --> runtime 5min
