LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.028777009808837385
Amygdala;DICE;STD;0.029171086161447313
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.170071892478156
GreyMatter;DICE;STD;0.1699150114728582
GreyMatter;HDRFDST;MEAN;34.57197047894485
GreyMatter;HDRFDST;STD;27.658251159517768
Hippocampus;DICE;MEAN;0.05218703108491769
Hippocampus;DICE;STD;0.05261674289180988
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.10227439874648828
Thalamus;DICE;STD;0.08814356892915104
Thalamus;HDRFDST;MEAN;34.898474419920795
Thalamus;HDRFDST;STD;13.074650403056044
WhiteMatter;DICE;MEAN;0.33522971756672987
WhiteMatter;DICE;STD;0.32723027961239676
WhiteMatter;HDRFDST;MEAN;27.354254649153397
WhiteMatter;HDRFDST;STD;19.388005379338793

# 85 estimators / depth 5 --> runtime 25min
